modul,level,regional,witel,data_points,n_test,MAE,RMSE,MAPE,sMAPE,MASE,Skill_vs_Naive,KPI_pass,trained_at
avg_install_days,witel,REG-5,SULBAGTENG,43,6,0.4731,0.4911,22.4951,21.6497,0.0649,0.2722,LULUS,2026-05-21 10:28:45
avg_install_days,witel,REG-5,SUMALUT,43,6,1.1527,1.423,77.3186,49.9755,0.1451,0.4926,GAGAL,2026-05-21 10:29:05
churn_hsi,nasional,NASIONAL,-,40,5,2416.9299,2625.6133,21.1043,22.9724,0.5158,0.1488,LULUS,2026-05-20 23:15:07
churn_hsi,regional,REG-1,-,41,5,736.1419,944.9622,26.2047,30.8286,0.7166,0.0082,GAGAL,2026-06-08 12:24:37
churn_hsi,regional,REG-2,-,40,5,490.0726,565.7982,13.7077,14.6661,0.3024,0.1402,LULUS,2026-05-21 09:05:08
churn_hsi,regional,REG-3,-,40,5,517.8731,556.7241,19.4726,21.0831,0.4771,-0.1239,LULUS DENGAN CATATAN,2026-05-21 12:26:21
churn_hsi,regional,REG-4,-,40,5,298.4098,362.0522,26.2821,30.056,0.6636,0.1797,GAGAL,2026-05-21 12:05:09
churn_hsi,regional,REG-5,-,41,5,472.2782,666.0376,22.3245,27.2754,0.6425,0.1205,LULUS,2026-06-08 12:19:24
churn_hsi,witel,REG-1,ACEH,20,3,57.5908,68.3467,27.5292,33.7091,0.3041,0.6117,GAGAL,2026-05-21 09:01:25
churn_hsi,witel,REG-1,LAMPUNG BENGKULU,20,3,71.7469,71.7927,26.5381,26.7664,0.2338,0.6903,LULUS,2026-05-21 09:01:57
churn_hsi,witel,REG-1,RIAU,20,3,34.3454,42.3388,15.2227,14.2641,0.1192,0.8365,LULUS,2026-05-21 09:02:33
churn_hsi,witel,REG-1,SUMBAGSEL,20,3,119.862,163.1349,26.7394,33.8686,0.7177,0.2586,GAGAL,2026-05-21 09:04:21
churn_hsi,witel,REG-1,SUMBAR JAMBI,20,3,37.2027,52.9745,13.0435,14.9098,0.1231,0.8401,LULUS,2026-05-21 09:03:39
churn_hsi,witel,REG-1,SUMUT,20,3,68.245,73.9656,16.6508,18.155,0.1663,0.7679,LULUS,2026-05-21 09:03:58
churn_hsi,witel,REG-2,BANDUNG,20,3,47.54,65.2069,9.6224,10.4431,0.2792,-0.123,LULUS DENGAN CATATAN,2026-05-21 09:06:16
churn_hsi,witel,REG-2,BANTEN,20,3,50.5557,56.0245,9.6613,10.2671,0.4454,0.0461,LULUS,2026-05-21 09:06:37
churn_hsi,witel,REG-2,BEKASI KARAWANG,20,3,94.3684,97.6288,15.6534,17.0653,1.0053,0.4998,LULUS,2026-05-21 09:06:48
churn_hsi,witel,REG-2,JAKARTA CENTRUM,20,3,55.2876,78.0436,15.6423,17.9944,0.3439,0.1361,LULUS,2026-05-21 09:08:12
churn_hsi,witel,REG-2,JAKARTA INNER,20,3,69.2791,74.4254,25.717,29.8834,0.6817,-0.0089,LULUS,2026-05-21 09:08:27
churn_hsi,witel,REG-2,JAKARTA OUTER,20,3,45.1753,46.0577,10.0964,10.0247,0.3124,0.5359,LULUS,2026-05-21 09:08:48
churn_hsi,witel,REG-2,PRIANGAN BARAT,20,3,55.0464,67.141,9.9363,10.7035,0.3414,0.6059,LULUS,2026-05-21 09:09:47
churn_hsi,witel,REG-2,PRIANGAN TIMUR,20,3,40.8208,64.8771,10.5357,12.1285,0.1071,0.8467,LULUS,2026-05-21 09:09:28
churn_hsi,witel,REG-3,BALI,20,3,28.1402,32.4161,18.151,18.4551,0.166,0.7668,LULUS,2026-05-21 09:10:37
churn_hsi,witel,REG-3,JATIM BARAT,20,3,59.2305,60.1,21.1429,22.1975,0.1805,0.7391,LULUS,2026-05-21 09:11:13
churn_hsi,witel,REG-3,JATIM TIMUR,20,3,82.1734,90.1656,19.0108,21.5195,0.1917,0.716,LULUS,2026-05-21 09:11:33
churn_hsi,witel,REG-3,NUSA TENGGARA,20,3,62.1972,65.6772,25.6809,24.2647,0.1955,0.7327,LULUS,2026-05-21 09:12:33
churn_hsi,witel,REG-3,SEMARANG JATENG UTARA,20,3,44.7824,51.8056,19.2877,22.0658,0.1824,0.7535,LULUS,2026-05-21 09:13:13
churn_hsi,witel,REG-3,SOLO JATENG TIMUR,20,3,40.8252,46.1164,25.4841,25.0965,0.2303,0.7152,LULUS,2026-05-21 09:13:35
churn_hsi,witel,REG-3,SURAMADU,20,3,26.5625,27.9985,7.5984,7.468,0.0685,0.9145,LULUS,2026-05-21 09:13:47
churn_hsi,witel,REG-3,YOGYA JATENG SELATAN,20,3,79.7105,89.1804,21.5306,24.7132,0.733,0.149,LULUS,2026-05-21 09:15:40
churn_hsi,witel,REG-4,BALIKPAPAN,20,3,26.7924,29.5017,23.7304,27.2458,0.2325,0.6872,LULUS,2026-05-21 09:16:13
churn_hsi,witel,REG-4,KALBAR,20,3,45.9721,58.5043,19.3175,22.7165,0.7225,0.1791,LULUS,2026-05-21 09:17:55
